"11111,4,Test Bass,2023,Passive,1"
"ABC1234567,4,Jazz Bass,1972,Active Bass Boost,10"
"AZS1234567,4,Elite Jazz,2017,Vintage Tone,34"
"BCD1098765,5,Jaguar Bass,2003,Noiseless Circuit,8"
"BVC1234567,4,Deluxe Dimension,2016,Modern EQ,28"
"BVC5678901,6,American Original,1976,Vintage Tone,38"
"BVC7890123,4,Aerodyne Jazz,2008,Aero Preamp,11"
"CDE5678901,4,Mustang PJ,1982,PJ Pickup Set,1"
"DEF0987654,4,Precision Elite,2010,Jazz Circuit,7"
"EDC3456789,6,Vintage Modified,2002,Modified Circuit,4"
"FGH4567890,6,Precision Lyte,1991,Lyte Preamp,47"
"HIJ8765432,5,Elite Dimension,2015,Active EQ,12"
"JKL2345678,5,Elite Jazz,2009,Vintage Tone,6"
"JKL3210987,5,American Deluxe,1998,Vintage Tone,30"
"JKL6789012,4,Road Worn Precision,2015,Distressed Pickup,31"
"JKL8901234,5,Dimension IV,2014,Dimension Preamp,24"
"KLM8765432,6,Squier Affinity,2019,Passive Circuit,19"
"LKJ0123456,5,Deluxe Precision,2004,Modern Preamp,37"
"LMN5678901,4,Standard Precision,1995,Vintage Pickup,21"
"MNB0123456,6,Player Precision,2023,Modern Pickup,46"
"MNB3456789,6,Precision Plus,1990,TBX Tone Circuit,41"
"MNB8901234,5,Standard Jazz,2000,Vintage Circuit,43"
"MNO7654321,6,Player Series,2020,Modern Preamp,5"
"NOP3456789,5,Road Worn Jazz,2012,Vintage Preamp,3"
"PLM8901234,4,Affinity PJ,2022,PJ Pickup Set,22"
"POI3456789,4,Player Jazz,2020,Player Preamp,32"
"POI5678901,5,American Performer,2017,Yosemite Pickup,16"
"PQR3456789,6,Aerodyne Jazz,2007,Jazz Preamp,42"
"QAZ1234567,4,Jazz Bass V,1987,5-String Preamp,29"
"QWE0123456,6,Jazz Bass Special,1986,Special Preamp,20"
"QWE1117890,6,Mustang Bass,2001,EQ Bassline,15"
"QWE4567890,4,Standard P-Bass,1980,Split-Coil Pickup,48"
"QWE6789012,5,Deluxe Active P,2005,Modern Precision,33"
"RFV4567890,4,Aerodyne Jazz,2018,Aero Preamp,50"
"RST9876543,5,American Original,1968,Vintage Tone,14"
"STU7654321,6,Deluxe Active,2018,Modern Precision,36"
"Test123,4,WorkingModel,2021,WorkingPreamp,1"
"TGB5678901,5,Deluxe Active P,1994,Modern Precision,18"
"UIO9012345,5,Flea Signature,2013,Active Circuit,44"
"UJM8901234,4,Mustang PJ,1992,PJ Pickup Set,2"
"UVW2345678,4,Flea Jazz,1989,Dual-Coil Pickup,17"
"VWX3210987,4,Geddy Lee Jazz,2006,Geddy Preamp,49"
"WSX2345678,5,American Elite,2011,Noiseless Circuit,35"
"XYZ9876543,5,Precision Bass,1985,Passive Tone,23"
"YHN0123456,6,American Ultra,2021,Ultra Preamp,13"
"YHN4567890,5,Squier Affinity,1983,Passive Circuit,27"
"YHN6289012,6,American Professiona,2019,V-Mod Precision,25"
"YHN6789012,6,Vintage Modified,1996,Modified Circuit,39"
"YZA2345678,4,Dimension HH,1997,Active EQ,26"
"ZXC2345678,6,Jazz Bass IV,2016,Vintage Circuit,45"
"ZXC7890123,6,Standard Jazz,1999,Vintage Circuit,9"
