"1,Jazz Bass Exp,,2020-05-15 00:00:00.000,10,ABC1234567"
"2,P-Bass Journey,,2012-08-22 00:00:00.000,23,XYZ9876543"
"3,Mustang Bass Adv,,2015-03-10 00:00:00.000,15,QWE1117890"
"4,P Elite Chronicles,,2018-09-28 00:00:00.000,7,DEF0987654"
"5,Amer Deluxe Tales,,2020-12-03 00:00:00.000,30,JKL3210987"
"6,Player Series Memo,,2014-06-17 00:00:00.000,5,MNO7654321"
"7,Flea Jazz Odyssey,,2012-01-08 00:00:00.000,17,UVW2345678"
"8,Elite Dimension Exp,,2016-07-22 00:00:00.000,12,HIJ8765432"
"9,Aerodyne Jazz Stories,,2019-10-15 00:00:00.000,42,PQR3456789"
"10,Std P Musings,,2013-04-30 00:00:00.000,21,LMN5678901"
"11,Jaguar Bass Journey,,2017-02-14 00:00:00.000,8,BCD1098765"
"12,Deluxe Active Disc,,2018-05-19 00:00:00.000,36,STU7654321"
"13,Geddy Lee J Epip,,2022-01-11 00:00:00.000,49,VWX3210987"
"14,Amer Orig Flash,,2015-08-07 00:00:00.000,14,RST9876543"
"15,Squier Aff Rem,,2019-12-25 00:00:00.000,19,KLM8765432"
"16,Dim HH Tales,,2013-07-01 00:00:00.000,26,YZA2345678"
"17,Road W Jazz Sagas,,2015-09-14 00:00:00.000,3,NOP3456789"
"18,P Lyte Chronicles,,2012-03-08 00:00:00.000,47,FGH4567890"
"19,Mustang PJ Adv,,2018-11-30 00:00:00.000,1,CDE5678901"
"20,Deluxe Active P N,,2005-06-26 00:00:00.000,33,QWE6789012"
"21,Std Jazz Memo,,2022-02-18 00:00:00.000,9,ZXC7890123"
"22,Aff PJ Chronicles,,1995-10-02 00:00:00.000,22,PLM8901234"
"23,Flea Sig Journeys,,2013-12-12 00:00:00.000,44,UIO9012345"
"24,Amer Ultra Mus,,2021-06-08 00:00:00.000,13,YHN0123456"
"25,Deluxe Dim Exp,,2016-09-03 00:00:00.000,28,BVC1234567"
"26,Elite Jazz Journey,,2009-04-17 00:00:00.000,6,JKL2345678"
"27,P Plus Epip,,1990-07-23 00:00:00.000,41,MNB3456789"
"28,Std P-Bass Reflection,,1980-11-05 00:00:00.000,48,QWE4567890"
"29,Amer Perf Journey,,2017-03-29 00:00:00.000,16,POI5678901"
"30,Vintage Mod Chron,,1996-08-14 00:00:00.000,3,YHN6789012"
"31,Aerodyne Jazz Narrative,,2008-01-20 00:00:00.000,39,BVC7890123"
"32,Dim IV Sagas,,2014-04-07 00:00:00.000,11,JKL8901234"
"33,Player P Musings,,2023-02-02 00:00:00.000,46,MNB0123456"
"34,Jazz Bass V Adv,,1987-09-18 00:00:00.000,29,QAZ1234567"
"35,Amer Elite Epip,,2011-12-10 00:00:00.000,35,WSX2345678"
"36,Vintage Mod Chron,,2002-04-05 00:00:00.000,4,EDC3456789"
"37,Aerodyne Jazz Epip,,2018-10-22 00:00:00.000,50,RFV4567890"
"38,Deluxe Active P Memory,,1994-12-01 00:00:00.000,18,TGB5678901"
"39,Amer Prof Tales,,2019-07-15 00:00:00.000,25,YHN6289012"
"40,Mustang PJ Music,,1992-02-10 00:00:00.000,2,UJM8901234"
"41,Deluxe P Journeys,,2004-05-26 00:00:00.000,37,LKJ0123456"
"42,Jazz Bass IV Chronicles,,2016-08-13 00:00:00.000,45,ZXC2345678"
"43,Player Jazz Narrative,,2020-01-18 00:00:00.000,32,POI3456789"
"44,Squier Aff Chronicles,,1983-06-30 00:00:00.000,27,YHN4567890"
"45,Amer Orig Sagas,,1976-10-14 00:00:00.000,38,BVC5678901"
"46,Road W P Journey,,2015-03-17 00:00:00.000,31,JKL6789012"
"47,Std Jazz Musings,,2000-06-25 00:00:00.000,43,MNB8901234"
"48,Jazz Bass S Epip,,1986-12-11 00:00:00.000,20,QWE0123456"
"49,Elite Jazz Explorer,,1986-12-11 00:00:00.000,20,QWE0123456"
"50,Road W P Journey,,1986-12-11 00:00:00.000,20,QWE0123456"
